"","Gene.Description","Gene.Accession.Number","index"
"1180","FNTB Farnesyltransferase; CAAX box; beta","L00635_at",1180
"1181","CBS Cystathionine-beta-synthase","L00972_at",1181
"1182","GB DEF = HIV1 tata element modulatory factor mRNA sequence from chromosome 3","L01042_at",1182
"1183","PRKCQ Protein kinase C-theta","L01087_at",1183
"1184","GHRHR Growth hormone-releasing hormone receptor","L01406_at",1184
"1185","CLC Charot-Leyden crystal protein","L01664_at",1185
"1186","RDX Radixin","L02320_at",1186
"1187","GSTM5 Glutathione S-transferase M5","L02321_at",1187
"1188","26S PROTEASE REGULATORY SUBUNIT 4","L02426_at",1188
"1189","CSTF1 Cleavage stimulation factor; 3' pre-RNA; subunit 1; 50kD","L02547_at",1189
"1190","TCN2 Transcobalamin II","L02648_at",1190
"1191","DRA Down-regulated in adenoma","L02785_at",1191
"1192","Potassium channel Kv2.1 mRNA","L02840_at",1192
"1193","62 kDa paraneoplastic antigen mRNA; 3' end","L02867_at",1193
"1194","PPARA Peroxisome proliferative activated receptor; alpha","L02932_at",1194
"1195","CRYM Crystallin Mu","L02950_at",1195
"1196","BASONUCLIN","L03427_at",1196
"1197","M4 protein mRNA","L03532_at",1197
"1198","MYL5 Myosin; light polypeptide 5; regulatory","L03785_at",1198
"1199","LYMPHOTOXIN-BETA RECEPTOR PRECURSOR","L04270_at",1199
"1200","(clone CC6) NADH-ubiquinone oxidoreductase subunit mRNA; 3' end cds","L04490_at",1200
"1201","Nucleotide binding protein mRNA","L04510_at",1201
"1202","GB DEF = Carbonic anhydrase related protein (CARP) mRNA","L04656_at",1202
"1203","KINESIN LIGHT CHAIN","L04733_at",1203
"1204","KDR Kinase insert domain receptor (a type III receptor tyrosine kinase)","L04947_at",1204
"1205","NEURON-SPECIFIC X11 PROTEIN","L04953_at",1205
"1206","Dual specificity phosphatase tyrosine/serine mRNA","L05147_at",1206
"1207","Protein tyrosine kinase related mRNA sequence","L05148_at",1207
"1208","CD44 gene (cell surface glycoprotein CD44) extracted from Human hyaluronate receptor (CD44) gene","L05424_cds2_at",1208
"1209","Autoantigen mRNA","L05425_at",1209
"1210","ADCY1 Adenylate cyclase 1 (brain)","L05500_at",1210
"1211","HTN1 Histatin 1","L05512_at",1211
"1212","CAMP responsive element binding protein beta subunit (CREBPA) mRNA","L05515_at",1212
"1213","SLC6A4 Solute carrier family 6 (neurotransmitter transporter; serotonin); member 4","L05568_at",1213
"1214","GB DEF = Serotonin receptor gene","L05597_at",1214
"1215","Myosin binding protein H mRNA","L05606_at",1215
"1216","EPHX2 Epoxide hydrolase 2; cytoplasmic","L05779_at",1216
"1217","VDAC1 Voltage-dependent anion channel 1","L06132_at",1217
"1218","TYROSINE-PROTEIN KINASE RECEPTOR TIE-2 PRECURSOR","L06139_at",1218
"1219","(clone SY11) golgin-95 mRNA","L06147_at",1219
"1220","P5-1 mRNA","L06175_at",1220
"1221","PLOD Lysyl hydroxylase","L06419_at",1221
"1222","RPL37A Ribosomal protein L37a","L06499_at",1222
"1223","RPL12 Ribosomal protein L12","L06505_at",1223
"1224","Transcription factor mRNA","L06633_at",1224
"1225","CARS Cysteinyl-tRNA synthetase","L06845_at",1225
"1226","MAD MAD protein (MAX-binding protein)","L06895_at",1226
"1227","HMGCL 3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)","L07033_at",1227
"1228","Calcium/calmodulin-dependent protein kinase (CAMK) isoform B mRNA sequence","L07044_at",1228
"1229","EHHADH Enyol-coA: hydratase 3-hydroxyacyl-coA dehydrogenase","L07077_at",1229
"1230","RECA Replication protein A (E coli RecA homolog; RAD51 homolog)","L07493_at",1230
"1231","HETEROCHROMATIN PROTEIN 1 HOMOLOG","L07515_at",1231
"1232","ACTIVATOR 1 36 KD SUBUNIT","L07540_at",1232
"1233","RFC3 Replication factor C (activator 1) 3 (38kD)","L07541_at",1233
"1234","ACY1 Aminoacylase 1","L07548_at",1234
"1235","PPP2R3 Protein phosphatase 2 (formerly 2A); regulatory subunit B'' (PR 72); alpha isoform and (PR 130); beta isoform","L07590_at",1235
"1236","Peroxisome proliferator activated receptor mRNA","L07592_at",1236
"1237","TGFBR3 Transforming growth factor; beta receptor III (betaglycan; 300kD))","L07594_at",1237
"1238","RPS6KA2 Ribosomal protein S6 kinase; 90kD; polypeptide 2","L07597_at",1238
"1239","INTERFERON GAMMA UP-REGULATED I-5111 PROTEIN PRECURSOR","L07633_at",1239
"1240","DIHYDROPRYRIDINE-SENSITIVE L-TYPE; SKELETAL MUSCLE CALCIUM CHANNEL GAMMA SUBUNIT","L07738_at",1240
"1241","IEF SSP 9502 mRNA","L07758_at",1241
"1242","CES2 Carboxylestease 2 (liver)","L07765_at",1242
"1243","ERBB4 V-erb-a avian erythroblastic leukemia viral oncogene homolog-like 4","L07868_at",1243
"1244","GNRHR Gonadotropin-releasing hormone receptor","L07949_at",1244
"1245","GBE1 Glucan (1;4-alpha-); branching enzyme 1 (glycogen branching enzyme; Andersen disease; glycogen storage disease type IV)","L07956_at",1245
"1246","DNAJ PROTEIN HOMOLOG 2","L08069_at",1246
"1247","CMKBR7 Chemokine (C-C) receptor 7","L08177_at",1247
"1248","Cytokine receptor (EBI3) mRNA","L08187_at",1248
"1249","INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1","L08246_at",1249
"1250","Achaete scute homologous protein (ASH1) mRNA","L08424_at",1250
"1251","GABRA5 Gamma-aminobutyric acid (GABA) A receptor; alpha 5)","L08485_at",1251
"1252","INPP1 Inositol polyphosphate-1-phosphatase","L08488_at",1252
"1253","VDAC2 Voltage-dependent anion channel 2","L08666_at",1253
"1254","Trichohyalin (TRHY) gene","L09190_rna1_at",1254
"1255","ATP6A2 ATPase; H+ transporting; lysosomal (vacuolar proton pump); alpha polypeptide; 70kD; isoform 2","L09234_at",1255
"1256","ATP6A1 ATPase; H+ transporting; lysosomal (vacuolar proton pump); alpha polypeptide; 70kD; isoform 1","L09235_at",1256
"1257","(chromosome 3p25) membrane protein mRNA","L09260_at",1257
"1258","INTESTINAL MEMBRANE A4 PROTEIN","L09604_at",1258
"1259","C2 Complement component C2","L09708_at",1259
"1260","LAMP2 Lysosome-associated membrane protein 2 {alternative products}","L09717_at",1260
"1261","GB DEF = (clone F4) transmembrane protein mRNA sequence","L09749_at",1261
"1262","CD30LG CD30 antigen ligand","L09753_at",1262
"1263","CRYBB2 Crystallin beta-B2","L10035_at",1263
"1264","Sex-determining region Y (SRY) gene","L10102_rna1_at",1264
"1265","Surfactant protein A mRNA","L10123_at",1265
"1266","CANX Calnexin","L10284_at",1266
"1267","PI3 Protease inhibitor 3; skin-derived (SKALP)","L10343_at",1267
"1268","MXS1 Membrane component; X chromosome; surface marker 1","L10373_at",1268
"1269","(clone CTG-A4) mRNA sequence","L10374_at",1269
"1270","(clone CTG-B43a) mRNA sequence","L10378_at",1270
"1271","GB DEF = 2-5A-dependent RNase gene","L10381_at",1271
"1272","TGM3 Transglutaminase 3 (E polypeptide; protein-glutamine-gamma-glutamyltransferase)","L10386_at",1272
"1273","DNA binding protein for surfactant protein B mRNA","L10403_at",1273
"1274","GB DEF = DNA binding protein for surfactant protein B mRNA","L10405_at",1274
"1275","GNAL Guanine nucleotide binding protein (G protein); alpha activating activity polypeptide; olfactory type","L10665_at",1275
"1276","PFN2 Profilin 2","L10678_at",1276
"1277","PRE-MRNA SPLICING FACTOR SRP20","L10838_at",1277
"1278","CDC42 Cell division cycle 42 (GTP-binding protein; 25kD)","L10844_at",1278
"1279","Splicing factor (CC1.3) mRNA","L10910_at",1279
"1280","ALDEHYDE OXIDASE","L11005_at",1280
"1281","Homeobox protein (HOX) gene; 3' end","L11239_at",1281
"1282","DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2","L11285_at",1282
"1283","DUAL SPECIFICITY PROTEIN PHOSPHATASE PAC-1","L11329_at",1283
"1284","NF2 Neurofibromin 2 (bilateral acoustic neuroma)","L11353_at",1284
"1285","Protocadherin 42 mRNA; 3' end of cds for alternative splicing PC42-8","L11369_at",1285
"1286","Protocadherin 42 mRNA for abbreviated PC42","L11370_at",1286
"1287","Protocadherin 43 mRNA; 3' end of cds for alternative splicing PC43-12","L11372_at",1287
"1288","Protocadherin 43 mRNA for abbreviated PC43","L11373_at",1288
"1289","RPL18 Ribosomal protein L18","L11566_at",1289
"1290","GB DEF = Surfactant protein B mRNA","L11573_at",1290
"1291","Tetracycline transporter-like protein mRNA","L11669_at",1291
"1292","SERINE/THREONINE-PROTEIN KINASE RECEPTOR R4 PRECURSOR","L11695_at",1292
"1293","HSD17B2 17 beta hydroxysteroid dehydrogenase; type 2","L11708_at",1293
"1294","ADENYLYL CYCLASE-ASSOCIATED PROTEIN 1","L12168_at",1294
"1295","THBS2 Thrombospondin 2","L12350_at",1295
"1296","HD Huntingtin (Huntington disease)","L12392_at",1296
"1297","ENPEP Glutamyl aminopeptidase (aminopeptidase A)","L12468_at",1297
"1298","RSU-1/RSP-1 mRNA","L12535_at",1298
"1299","Engrailed protein (EN2) gene; 5' end","L12701_cds2_at",1299
"1300","HSPA4 Heat shock 70kD protein 4","L12723_at",1300
"1301","VITAMIN D-DEPENDENT CALCIUM-BINDING PROTEIN","L13042_at",1301
"1302","PAPPA Pregnancy-associated plasma protein A","L13197_at",1302
"1303","HNF-3/fork-head homolog-3 HFH-3 mRNA","L13203_at",1303
"1304","Mac-2 binding protein mRNA","L13210_at",1304
"1305","SLC17A2 Solute carrier family 17 (sodium phosphate); member 2","L13258_at",1305
"1306","CRYZ Crystallin zeta (quinone reductase)","L13278_at",1306
"1307","Mitochondrial 1;25-dihydroxyvitamin D3 24-hydroxylase mRNA","L13286_at",1307
"1308","IDS Iduronate 2-sulfatase (Hunter syndrome)","L13329_at",1308
"1309","REGULATOR OF G-PROTEIN SIGNALLING 2","L13391_at",1309
"1310","Chromosome 3p21.1 gene sequence","L13434_at",1310
"1311","Guanylate cyclase mRNA; complete mature peptide","L13436_at",1311
"1312","BMI1 Murine leukemia viral (bmi-1) oncogene homolog","L13689_at",1312
"1313","GAS1 Growth arrest-specific 1","L13698_at",1313
"1314","Growth-arrest-specific protein (gas) mRNA","L13720_at",1314
"1315","Activated p21cdc42Hs kinase (ack) mRNA","L13738_at",1315
"1316","Dihydrolipoamide dehydrogenase gene; exon 14","L13761_rna1_at",1316
"1317","GB DEF = Liver expressed protein gene; 3' end","L13800_at",1317
"1318","LKP DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 9 (RNA helicase A)","L13848_at",1318
"1319","UBE1L Ubiquitin-activating enzyme E1; like","L13852_at",1319
"1320","FBN1 Fibrillin 1 (Marfan syndrome)","L13923_at",1320
"1321","SIAT4A Sialyltransferase 4A (beta-galactosidase alpha-2;3-sialytransferase)","L13972_at",1321
"1322","LYSOSOMAL PRO-X CARBOXYPEPTIDASE PRECURSOR","L13977_at",1322
"1323","GB DEF = PreC gene; ORF X","L13994_at",1323
"1324","PRE-MRNA SPLICING FACTOR SRP75","L14076_at",1324
"1325","SLC18A2 Solute carrier family 18 (vesicular monoamine); member 2","L14269_at",1325
"1326","Lectin-like type II integral membrane protein (NKG2-E) mRNA","L14542_at",1326
"1327","PERIPHERIN","L14565_at",1327
"1328","SLC1A4 Solute carrier family 1 (glutamate/neutral amino acid transporter); member 4","L14595_at",1328
"1329","IGHMBP2 DNA-binding protein (SMBP2)","L14754_at",1329
"1330","DNA-binding protein mRNA; 3'end","L14787_at",1330
"1331","RBL1 Retinoblastoma-like 1 (p107)","L14812_at",1331
"1332","CELL Carboxyl ester lipase like protein","L14813_at",1332
"1333","TJP1 Tight junction protein 1 (zona occludens 1)","L14837_at",1333
"1334","GB DEF = Somatostatin receptor gene","L14856_at",1334
"1335","RFC1 Replication factor C (activator 1) 1 (145kD)","L14922_at",1335
"1336","LCN1 Lipocalin 1 (protein migrating faster than albumin; tear prealbumin)","L14927_at",1336
"1337","ZNF141 Zinc finger protein 141 (clone pHZ-44)","L15309_at",1337
"1338","High molecular weight B cell growth factor mRNA sequence","L15344_at",1338
"1339","G PROTEIN-COUPLED RECEPTOR KINASE GRK5","L15388_at",1339
"1340","VON HIPPEL-LINDAU DISEASE TUMOR SUPPRESSOR","L15409_at",1340
"1341","GB DEF = Tyrosine hydroxylase (TH) gene; 3' end; insulin (INS) gene; insulin-like growth factor 2 (IGF2) gene; 5' end","L15440_at",1341
"1342","Pancreatits-associated protein (PAP) gene","L15533_rna1_at",1342
"1343","BF B-factor; properdin","L15702_at",1343
"1344","ETS-RELATED PROTEIN PE-1","L16464_at",1344
"1345","Putative M phase phosphoprotein 1 (MPP1) mRNA; partial cds","L16782_at",1345
"1346","UQCRC1 Ubiquinol-cytochrome c reductase core protein I","L16842_at",1346
"1347","GPRK6 G protein-coupled receptor kinase 6","L16862_at",1347
"1348","LOX Lysyl oxidase","L16895_at",1348
"1349","Zinc finger protein mRNA","L16896_at",1349
"1350","DTYMK Deoxythymidylate kinase","L16991_at",1350
"1351","GGCX Gamma-glutamyl carboxylase","L17128_at",1351
"1352","High mobility group protein (HMG-I(Y)) gene exons 1-8","L17131_rna1_at",1352
"1353","Pre-T/NK cell associated protein (1D12A2) mRNA","L17325_at",1353
"1354","Pre-T/NK cell associated protein (3B3) mRNA; 3' end","L17327_at",1354
"1355","Pre-T/NK cell associated protein (3Cl) mRNA","L17328_at",1355
"1356","Pre-T/NK cell associated protein (6H9A) mRNA","L17330_at",1356
"1357","EIF4C Eukaryotic translation initiation factor 4C (eIF-4C)","L18960_at",1357
"1358","Anonymous gene","L18972_at",1358
"1359","Tyrosine phosphatase (IA-2/PTP) mRNA","L18983_at",1359
"1360","GB DEF = Glutamate receptor (GLUR5) mRNA","L19058_at",1360
"1361","GB DEF = Glial-derived neurotrophic factor gene","L19063_at",1361
"1362","TRANSCRIPTION FACTOR P65","L19067_at",1362
"1363","GB DEF = Translation initiation factor eIF-2 gamma subunit mRNA","L19161_at",1363
"1364","MAC30 mRNA; 3' end","L19183_at",1364
"1365","59 protein mRNA; 3' end","L19267_at",1365
"1366","CA5 Mitochondrial carbonic anhydrase","L19297_at",1366
"1367","HRY gene","L19314_at",1367
"1368","MYO5A Myosin VA (heavy polypeptide 12; myoxin)","L19401_at",1368
"1369","TALDO Transaldolase","L19437_at",1369
"1370","RPL27 Ribosomal protein L27","L19527_at",1370
"1371","IL8RB Interleukin 8 receptor; beta","L19593_at",1371
"1372","ANX11 Annexin XI (56kD autoantigen)","L19605_at",1372
"1373","Macrophage migration inhibitory factor (MIF) gene","L19686_rna1_at",1373
"1374","Dystroglycan (DAG1) mRNA","L19711_at",1374
"1375","Histone (H2A.1b) mRNA","L19778_at",1375
"1376","Histone H2A.2 mRNA","L19779_at",1376
"1377","GPI-H mRNA","L19783_at",1377
"1378","ATF3 Activating transcription factor 3","L19871_at",1378
"1379","AHR AH-receptor","L19872_at",1379
"1380","HCF1 gene related mRNA sequence","L20010_at",1380
"1381","Transcription factor (CBFB) mRNA; 3' end","L20298_at",1381
"1382","GCGR Glucagon receptor","L20316_at",1382
"1383","CDK7 Cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)","L20320_at",1383
"1384","STK2 Protein serine/threonine kinase stk2","L20321_at",1384
"1385","Oncomodulin gene","L20348_at",1385
"1386","ANX3 Annexin III (lipocortin III)","L20591_at",1386
"1387","mRNA in the region near the btk gene involved in a-gamma-globulinemia","L20773_at",1387
"1388","GRIA2 Glutamate receptor; ionotropic; AMPA 2","L20814_at",1388
"1389","S protein mRNA","L20815_at",1389
"1390","I-plastin mRNA","L20826_at",1390
"1391","Leukemia virus receptor 2 (GLVR2) mRNA","L20852_at",1391
"1392","Leukemia virus receptor 1 (GLVR1) mRNA","L20859_at",1392
"1393","WNT5A Wingless-type MMTV integration site 5A; human homolog","L20861_at",1393
"1394","FTH1 Ferritin heavy chain","L20941_at",1394
"1395","PDE4B Phosphodiesterase 4B; cAMP-specific (dunce (Drosophila)-homolog phosphodiesterase E4)","L20971_at",1395
"1396","TNNI2 Troponin I (skeletal fast)","L21715_at",1396
"1397","SLC10A1 Na/taurocholate cotransporting polypeptide","L21893_at",1397
"1398","SOAT Sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase)","L21934_at",1398
"1399","SDH2 Succinate dehydrogenase 2; flavoprotein (Fp) subunit","L21936_at",1399
"1400","PERIPHERAL-TYPE BENZODIAZEPINE RECEPTOR","L21954_at",1400
"1401","ADENYLATE CYCLASE; TYPE II","L21993_at",1401
"1402","UBIQUITIN-CONJUGATING ENZYME E2-CDC34 COMPLEMENTING","L22005_at",1402
"1403","HnRNP H mRNA","L22009_at",1403
"1404","Guanine nucleotide regulatory protein (G13) mRNA","L22075_at",1404
"1405","AVPR2 Antidiuretic hormone receptor","L22206_at",1405
"1406","ADORA1 Adenosine receptor A1","L22214_at",1406
"1407","GB DEF = Nuclear phosphoprotein mRNA","L22342_at",1407
"1408","Nuclear phosphoprotein mRNA","L22343_at",1408
"1409","COL18A1 Collagen; type XVIII; alpha 1","L22548_at",1409
"1410","Early lymphoid activation protein (EPAG) mRNA sequence","L22650_at",1410
"1411","GALC Galactocerebrosidase","L23116_at",1411
"1412","MMP12 Matrix metalloproteinase 12 (macrophage elastase)","L23808_at",1412
"1413","(clone Z146) retinal mRNA; 3' end and repeat region","L23852_at",1413
"1414","E2F-related transcription factor (DP-1) mRNA","L23959_at",1414
"1415","Ataxia-telangiectasia group D-associated protein mRNA","L24203_at",1415
"1416","PROSTAGLANDIN F2-ALPHA RECEPTOR","L24470_at",1416
"1417","POLA DNA polymerase alpha subunit","L24559_at",1417
"1418","Rad mRNA","L24564_at",1418
"1419","GB DEF = mRNA fragment","L24783_at",1419
"1420","(p23) mRNA","L24804_at",1420
"1421","ARH12 Aplysia ras-related homolog 12","L25080_at",1421
"1422","ARH9 Aplysia ras-related homolog 9","L25081_at",1422
"1423","PROTEIN TRANSPORT PROTEIN SEC61 BETA SUBUNIT","L25085_at",1423
"1424","OPRM1 Opioid receptor; mu 1","L25119_at",1424
"1425","XE169 PROTEIN","L25270_at",1425
"1426","Geranylgeranyltransferase type I beta-subunit mRNA","L25441_at",1426
"1427","TBP-associated factor TAFII80 mRNA","L25444_at",1427
"1428","HMGCS1 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)","L25798_at",1428
"1429","INTEGRIN ALPHA-E PRECURSOR","L25851_at",1429
"1430","Protein tyrosine phosphatase (CIP2)mRNA","L25876_at",1430
"1431","Semaphorin-III (Hsema-I) mRNA","L26081_at",1431
"1432","APOBEC1 Apolipoprotein B mRNA editing enzyme; catalytic polypeptide 1","L26234_at",1432
"1433","RPL3 Ribosomal protein L3","L26247_at",1433
"1434","Heat shock protein HSPA2 gene","L26336_at",1434
"1435","Autoantigen mRNA","L26339_at",1435
"1436","POU3F1 POU domain; class 3; transcription factor 1","L26494_at",1436
"1437","RMSA1 Regulator of mitotic spindle assembly 1","L26953_at",1437
"1438","APOF Apolipoprotein F","L27050_at",1438
"1439","TXK TXK tyrosine kinase","L27071_at",1439
"1440","GB DEF = Melanocortin 5 receptor (MC5R) gene","L27080_at",1440
"1441","X104 mRNA","L27476_at",1441
"1442","X123 mRNA; 3' end","L27479_at",1442
"1443","Insulin-like growth factor binding protein 5 (IGFBP5) mRNA","L27560_at",1443
"1444","ORPHAN RECEPTOR TR4","L27586_at",1444
"1445","CCT6 Chaperonin containing T-complex subunit 6","L27706_at",1445
"1446","Autoantigen pericentriol material 1 (PCM-1) mRNA","L27841_at",1446
"1447","CDA Cytidine deaminase","L27943_at",1447
"1448","HnRNP F protein mRNA","L28010_at",1448
"1449","PTGER2 Prostaglandin E receptor 2 (subtype EP2); 53kD","L28175_at",1449
"1450","MANA2 Alpha mannosidase II isozyme","L28821_at",1450
"1451","CHOLINEPHOSPHATE CYTIDYLYLTRANSFERASE","L28957_at",1451
"1452","ARL1 ADP-ribosylation factor like 1","L28997_at",1452
"1453","SORD Sorbitol dehydrogenase","L29008_at",1453
"1454","Clk3 mRNA","L29217_at",1454
"1455","Clk2 mRNA","L29218_at",1455
"1456","STAT3 Signal transducer and activator of transcription 3 (acute-phase response factor)","L29277_at",1456
"1457","Na+/glucose cotransporter 1 mRNA","L29339_at",1457
"1458","GB DEF = (clone 3.8-1) MHC class I mRNA fragment","L29376_at",1458
"1459","COAGULATION FACTOR X PRECURSOR","L29433_at",1459
"1460","GB DEF = Beta1-syntrophin (SNT B1) gene","L31529_at",1460
"1461","Sulfite oxidase mRNA","L31573_at",1461
"1462","CMKBR7 Chemokine (C-C) receptor 7","L31584_at",1462
"1463","SLC16A1 Solute carrier family 16 (monocarboxylic acid transporters); member 1","L31801_at",1463
"1464","GYPA Glycophorin A","L31860_at",1464
"1465","NFIX Nuclear factor I/X (CCAAT-binding transcription factor)","L31881_at",1465
"1466","COMP Cartilage oligomeric matrix protein","L32137_at",1466
"1467","AFM Afamin","L32140_at",1467
"1468","Zinc finger protein mRNA; 3' end","L32163_at",1468
"1469","Zinc finger protein mRNA; 3' end","L32164_at",1469
"1470","Arylacetamide deacetylase mRNA","L32179_at",1470
"1471","Effector cell protease receptor-1 (EPR-1) gene; partial cds","L32866_at",1471
"1472","Protein kinase (MLK-3) mRNA","L32976_at",1472
"1473","UBIQUINOL-CYTOCHROME C REDUCTASE IRON-SULFUR SUBUNIT PRECURSOR","L32977_at",1473
"1474","PKD1 Polycystic kidney disease protein 1","L33243_at",1474
"1475","Stratum corneum chymotryptic enzyme mRNA","L33404_at",1475
"1476","(clone 8B1) Br-cadherin mRNA","L33477_at",1476
"1477","Dihydropyridine-sensitive L-type calcium channel alpha-1 subunit (CACNL1A3) mRNA","L33798_at",1477
